label,Alcohol,MalicAcid,Ash,AshAlcal,Magnesium,TotPhenols,Flavanoids,NonflavPhenols,Proanthocyanins,ColorInt,Hue,OD280x315,Proline
i1C1,843,197,539,265,786,628,581,284,649,407,482,971,562
i2C1,572,211,363,32,414,576,517,246,301,289,491,781,551
i3C1,561,328,685,423,428,628,619,321,829,410,473,696,647
i4C1,879,245,582,328,593,990,673,208,611,608,327,799,858
i5C1,582,374,806,550,662,628,502,491,487,284,482,609,326
i6C1,835,207,551,244,579,790,651,397,539,510,491,579,836
i7C1,885,229,551,212,359,525,466,321,542,370,465,847,722
i8C1,798,285,648,371,703,559,464,340,290,352,499,847,726
i9C1,1000,182,381,180,372,628,564,302,542,366,516,579,548
i10C1,745,124,442,286,386,690,600,170,497,554,456,836,548
i11C1,808,287,460,392,483,680,636,170,680,417,662,696,879
i12C1,814,150,472,328,345,421,447,246,401,347,594,568,715
i13C1,716,201,527,286,262,559,517,302,484,403,577,598,744
i14C1,979,201,515,43,290,732,715,567,829,384,662,535,622
i15C1,882,229,509,75,441,800,705,302,880,580,620,634,906
i16C1,685,217,703,349,579,645,549,321,363,561,688,590,737
i17C1,861,239,715,497,689,628,598,378,539,459,508,506,715
i18C1,737,168,654,497,620,680,654,510,453,496,559,477,608
i19C1,832,172,569,312,524,800,767,359,501,692,645,568,1000
i20C1,687,477,618,244,634,594,575,76,432,356,413,766,405
i21C1,798,180,448,286,772,697,604,208,584,408,525,894,359
i22C1,500,619,673,423,441,494,442,227,542,301,473,825,351
i23C1,706,227,497,318,428,563,543,265,442,235,542,1000,540
i24C1,479,174,594,381,345,518,434,246,363,247,525,865,526
i25C1,651,217,648,497,359,535,485,284,432,209,551,935,405
i26C1,532,265,1000,762,744,569,500,642,522,215,559,707,394
i27C1,622,209,654,291,317,645,555,397,359,328,379,715,655
i28C1,598,199,363,339,331,490,395,265,325,249,465,550,719
i29C1,748,235,764,466,510,680,562,453,466,301,662,781,455
i30C1,787,190,405,286,359,576,425,246,542,319,482,850,540
i31C1,711,154,703,630,428,697,622,302,680,412,611,528,719
i32C1,672,186,497,450,496,649,609,170,532,524,525,590,883
i33C1,698,221,497,349,469,497,502,548,539,239,645,587,508
i34C1,719,160,703,471,855,680,513,699,325,384,662,634,683
i35C1,653,215,673,445,552,473,468,302,390,273,534,587,583
i36C1,645,217,527,524,414,594,564,246,501,356,482,806,458
i37C1,593,182,788,260,552,559,500,397,328,310,525,554,430
i38C1,532,184,612,392,386,507,447,302,356,277,551,455,590
i39C1,537,154,339,260,386,490,491,284,332,226,602,521,530
i40C1,840,657,588,138,800,697,577,133,577,356,353,828,344
i41C1,666,197,466,297,648,749,630,397,666,452,405,773,369
i42C1,627,627,351,434,276,507,500,265,370,280,370,634,540
i43C1,751,233,636,233,428,783,688,76,446,387,344,839,583
i44C1,582,655,454,365,455,573,489,359,432,287,293,634,287
i45C1,532,209,339,339,510,697,568,284,560,351,344,762,433
i46C1,837,667,545,439,565,645,493,321,290,369,336,755,573
i47C1,882,577,448,286,441,783,604,265,615,338,482,795,562
i48C1,756,190,351,286,428,732,651,151,597,450,370,755,505
i49C1,808,259,521,434,455,611,551,359,680,459,508,543,558
i50C1,766,201,442,360,524,656,683,359,577,710,551,671,701
i51C1,532,201,302,96,304,601,626,76,863,552,551,601,622
i52C1,737,184,642,349,331,507,566,170,649,403,654,770,704
i53C1,735,205,533,180,565,1000,726,359,504,538,456,729,651
i54C1,722,235,691,344,620,697,523,491,439,468,559,609,783
i55C1,714,188,430,307,662,559,547,151,418,426,379,707,558
i56C1,666,201,557,524,634,683,521,133,704,464,430,645,601
i57C1,840,195,460,302,662,766,568,246,560,476,396,748,494
i58C1,595,249,691,328,441,697,617,340,432,440,508,576,708
i59C1,708,140,582,323,524,835,711,114,563,515,353,587,719
i60C2,353,41,0,0,248,345,50,284,4,63,491,202,173
i61C2,343,73,448,286,428,369,161,944,0,186,662,147,287
i62C2,424,126,290,328,414,359,229,755,73,417,430,118,123
i63C2,695,104,229,392,331,387,310,359,111,235,645,436,252
i64C2,353,79,375,445,235,869,590,114,504,296,637,587,102
i65C2,301,144,600,445,469,314,301,604,214,156,834,352,55
i66C2,353,95,618,397,386,497,493,453,577,310,611,378,286
i67C2,548,55,96,233,111,690,607,246,646,375,551,700,160
i68C2,353,87,229,476,111,390,355,265,218,317,551,810,166
i69C2,608,41,497,339,552,535,205,793,4,177,465,242,337
i70C2,311,91,126,328,1000,301,201,19,722,147,688,660,314
i71C2,332,176,405,519,455,42,146,453,363,165,367,202,423
i72C2,745,156,685,762,221,680,538,151,504,196,757,693,95
i73C2,648,186,424,709,235,311,321,265,214,230,430,554,139
i74C2,516,188,642,1000,951,800,545,151,535,193,714,817,505
i75C2,245,71,460,550,428,828,385,0,428,180,439,682,434
i76C2,166,231,229,286,372,218,263,397,256,235,645,319,107
i77C2,527,33,102,286,221,335,361,208,363,310,611,444,82
i78C2,214,435,418,392,579,256,210,567,187,128,413,458,159
